,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
388228,Q4382416,Giuseppina Bozzacchi,Italian ballet dancer,Female,Kingdom of Italy,Ballet dancer,1853,1870.0,natural causes,17.0
862106,Q17626531,Catherine Raisin,British geologist,Female,United Kingdom; United Kingdom of Great Britain and Ireland,Researcher,1855,1945.0,natural causes,90.0
191027,Q1605776,Henri Cordier,French mountaineer,Male,France,Mountaineer,1856,1877.0,accident,21.0
49953,Q318811,Tongzhi Emperor,emperor of the Qing Dynasty,Male,Qing dynasty,Artist,1856,1875.0,natural causes,19.0
1359,Q19185,George Bernard Shaw,Irish playwright,Male,Ireland; United Kingdom; United Kingdom of Great Britain and Ireland,Playwright,1856,1950.0,accident,94.0
7721,Q67980,Max Hödel,"German anarchist, failed assassin (1857-1878)",Male,Germany,Politician,1857,1878.0,capital punishment,21.0
32628,Q137679,Gertrude Atherton,"Novelist, short story writer",Female,United States of America,Artist,1857,1948.0,natural causes,91.0
751991,Q13391467,Mariana Coelho,Brazilian writer,Female,Brazil,Artist,1857,1954.0,natural causes,97.0
500199,Q5729862,Blanca de los Ríos,"Spanish writer, painter, editor",Female,Spain,Artist,1859,1956.0,natural causes,97.0
911800,Q19659530,Louise DeKoven Bowen,American philanthropist and activist,Female,United States of America,Suffragette; philanthropist; suffragist,1859,1953.0,natural causes,94.0
229307,Q2019352,Emily Fitzroy,British actress (1860-1954),Female,United Kingdom,Artist,1860,1954.0,natural causes,94.0
285244,Q2959515,Charles K. French,"actor, director, screenwriter (1860-1952)",Male,United States of America,Artist,1860,1952.0,natural causes,92.0
39928,Q218879,Mercedes of Orléans,Queen consort of Spain,Female,Spain,Politician,1860,1878.0,natural causes,18.0
890869,Q18711141,Hice un pacto con María García Granados y Saborío,Guatemalan socialite (1860-1878),Female,Guatemala,Socialite,1860,1878.0,natural causes,18.0
276037,Q2836706,Alice de Chambrier,Swiss poet (1861-1882),Female,Switzerland,Artist,1861,1882.0,natural causes,21.0
56324,Q353150,Addison T. Smith,American politician (1862-1956),Male,United States of America,Politician,1862,1956.0,natural causes,94.0
141549,Q1254741,Franjo Krežma,Croatian violinist,Male,Croatia,Artist,1862,1881.0,natural causes,19.0
227219,Q1978234,Maria Chekhova,"teacher, artist, founder of the Chekhov Memorial House museum in Yalta, editor (1863-1957)",Female,Soviet Union; Russian Empire,Artist,1863,1957.0,natural causes,94.0
410846,Q4793754,Lillian Heath,Doctor,Female,United States of America,Physician,1865,1962.0,accident,97.0
3029,Q45682,Jean Sibelius,Finnish composer of the late Romantic period,Male,Finland,Artist,1865,1957.0,natural causes,92.0
941178,Q20807179,William Whitney Christmas,American physician and aviator,Male,United States of America,Military personnel,1865,1960.0,natural causes,95.0
64349,Q435743,Shigechiyo Izumi,Japanese supercentenarian,Male,Japan,Farmer; lecturer,1865,1986.0,natural causes,121.0
53351,Q333241,Aleksandr Ulyanov,brother of Vladimir Lenin,Male,Russian Empire,Student; revolutionary,1866,1887.0,capital punishment,21.0
76975,Q526520,Mohsen Sadr,Iranian politician (1866-1962),Male,Iran,Politician,1866,1962.0,natural causes,96.0
65407,Q442080,Charles C. Moore,American politician (1866-1958),Male,United States of America,Politician,1866,1958.0,natural causes,92.0
1059287,Q32959327,La Tortajada,baaŋa ŋun nyɛ paɣa,Female,Spain,Artist,1867,1957.0,natural causes,90.0
374848,Q4135327,Vasily Generalov,Russian revolutionary,Male,Russian Empire,Revolutionary,1867,1887.0,capital punishment,20.0
1036,Q13003,Arturo Toscanini,Italian conductor (1867-1957),Male,Italy; Kingdom of Italy,Artist,1867,1957.0,natural causes,90.0
41267,Q237514,Laura Ingalls Wilder,"American children's writer, diarist, and journalist",Female,United States of America,Artist,1867,1957.0,natural causes,90.0
79030,Q541308,Georges Lecomte,French writer,Male,France,Artist,1867,1958.0,accident,91.0
64765,Q438275,Theodore F. Green,American politician (1867-1966),Male,United States of America,Researcher,1867,1966.0,natural causes,99.0
265542,Q2635833,Pius of Saint Aloysius,Beatified person,Male,Kingdom of Italy,Monk,1868,1889.0,natural causes,21.0
423227,Q4938358,Boileryard Clarke,"Major League Baseball player, college baseball coach, manager",Male,United States of America,Athlete,1868,1959.0,accident,91.0
45359,Q275991,La Belle Otero,"Spanish dancer, actress and courtesan in France",Female,Spain,Artist,1868,1965.0,natural causes,97.0
843528,Q16944137,Charles Harvey Bollman,American naturalist,Male,United States of America,Researcher,1868,1889.0,natural causes,21.0
289323,Q3026877,Prince Waldemar of Prussia,German prince,Male,Germany,Politician,1868,1879.0,natural causes,11.0
434915,Q5081828,Charles R. Eckert,American politician,Male,United States of America,Politician,1868,1959.0,accident,91.0
47484,Q298991,John Nance Garner,American politician (1868-1967),Male,United States of America,Politician,1868,1967.0,natural causes,99.0
455414,Q5343893,Edward Keliʻiahonui,prince of the Kingdom of Hawaii who died in childhood,Male,Kingdom of Hawaiʻi,Politician,1869,1887.0,natural causes,18.0
418309,Q4894954,Bert Abbey,American baseball player and coach,Male,United States of America,Athlete,1869,1962.0,natural causes,93.0
473319,Q5504889,Fritz Clausen,American baseball player,Male,United States of America,Athlete,1869,1960.0,accident,91.0
669054,Q10309382,Prince Joseph Ferdinand of Saxe-Coburg and Gotha,German-Brazilian prince,Male,Brazil,Politician,1869,1888.0,natural causes,19.0
434331,Q5080635,Charles Manning Child,American zoologist,Male,United States of America,Researcher,1869,1959.0,natural causes,90.0
250022,Q2392554,Iulia Hasdeu,Romanian poet,Female,Romania,Researcher,1869,1888.0,natural causes,19.0
473122,Q5503563,Frideborg Winblad,Swedish educational administrator,Female,Sweden,Teacher,1869,1964.0,natural causes,95.0
421545,Q4924883,Blanche Ring,American actress and singer (1871-1961),Female,United States of America,Artist,1871,1961.0,natural causes,90.0
40761,Q233074,Mary von Vetsera,"Austrian noblewoman, mistress to Crown Prince Rudolf of Austria (1871-1881)",Female,Austria-Hungary,Aristocrat,1871,1889.0,suicide,18.0
638432,Q8003104,Will Smalley,American baseball player,Male,United States of America,Athlete,1871,1891.0,natural causes,20.0
72488,Q491555,Ham Tae-young,South Korean politician,Male,South Korea,Judge,1872,1964.0,homicide,92.0
2135,Q33760,Bertrand Russell,"British philosopher, mathematician, historian, writer, and activist (1872–1970)",Male,United Kingdom; United Kingdom of Great Britain and Ireland,Researcher,1872,1970.0,natural causes,98.0
613140,Q7411080,Samuel Cate Prescott,American scientist,Male,United States of America,Researcher,1872,1962.0,natural causes,90.0
242689,Q2218477,Samuel Kaboo Morris,Liberian missionary,Male,Liberia,Religious figure,1873,1893.0,natural causes,20.0
115408,Q928209,Sante Geronimo Caserio,anarchist,Male,Kingdom of Italy,Baker; anarchist,1873,1894.0,capital punishment,21.0
176516,Q1508834,Georges Cassignard,cyclist,Male,France,Athlete,1873,1893.0,accident,20.0
434776,Q5081525,Charles Paton,actor (1874-1970),Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1874,1970.0,natural causes,96.0
2203,Q35236,Herbert Hoover,31st President of the United States of America (1874-1964).,Male,United States of America,Politician,1874,1964.0,natural causes,90.0
286601,Q2975565,Clarence Kolb,actor (1874-1964),Male,United States of America,Artist,1874,1964.0,natural causes,90.0
699,Q8016,Winston Churchill,"British statesman, army officer, and writer (1874–1965)",Male,United Kingdom,Researcher,1874,1965.0,natural causes,91.0
64978,Q439601,Elizabeth Patterson,actress,Female,United States of America,Artist,1874,1966.0,natural causes,92.0
41713,Q242001,Cléo de Mérode,French dancer (1875-1966),Female,Belgium; France,Artist,1875,1966.0,natural causes,91.0
88048,Q621088,Grand Duke Alexei Mikhailovich of Russia,Youngest son of Grand Duke Michael Nicolaievich of Russia,Male,Georgia,Military personnel,1875,1895.0,natural causes,20.0
115292,Q927074,María de San José Alvarado,Venezuelan religious,Female,Venezuela,Christians jehovah’s witnesses,1875,1967.0,natural causes,92.0
54960,Q344045,Alfred P. Sloan,American businessman,Male,United States of America,Entrepreneur,1875,1966.0,natural causes,91.0
124972,Q1032312,Archduke László Philipp of Austria,archduke of Austria,Male,Hungary,Aristocrat,1875,1895.0,accident,20.0
36337,Q182260,Jeanne Calment,"French supercentenarian, oldest human",Female,France,Homekeeper,1875,1997.0,natural causes,122.0
248964,Q2372006,Pauline Musters,Shortest woman ever,Female,Kingdom of the Netherlands,Dancer,1876,1895.0,natural causes,19.0
499863,Q5728431,Henry Smith,"lynching victim, born 1876",Male,United States of America,Handyman,1876,1893.0,lynching,17.0
398122,Q4678235,Ada Comstock,"American women's education pioneer, president of Radcliffe College 1923-1943.",Female,United States of America,Researcher,1876,1973.0,natural causes,97.0
451727,Q5327190,Eartha M. M. White,American humanitarian,Female,United States of America,Artist,1876,1974.0,natural causes,98.0
491229,Q5648836,Hannah Gale,Canadian politician,Female,Canada,Politician,1876,1970.0,natural causes,94.0
359981,Q3832430,Lily Branscombe,actress born in New Zealand,Female,New Zealand,Artist,1876,1970.0,natural causes,94.0
359306,Q3817171,Juana Borrero,Cuban artist and poet (1877-1896),Female,Cuba,Artist,1877,1896.0,natural causes,19.0
79962,Q547702,Alexy I of Moscow,Patriarch of Moscow and all Rus',Male,Soviet Union; Russian Empire,Religious figure,1877,1970.0,natural causes,93.0
70436,Q468370,Marie-Céline de la Présentation,French nun,Female,France,Nun,1878,1897.0,natural causes,19.0
80480,Q551414,Tullio Serafin,Italian conductor,Male,Italy; Kingdom of Italy,Conductor; music director,1878,1968.0,natural causes,90.0
139971,Q1241113,Kiyokata Kaburaki,Japanese artist (1878-1972),Male,Japan,Artist,1878,1972.0,natural causes,94.0
36859,Q189119,E. M. Forster,English novelist (1879-1970),Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1879,1970.0,natural causes,91.0
126073,Q1042805,Carlos Casagemas,Spanish artist (1880-1901),Male,Spain,Artist,1880,1901.0,suicide,21.0
427,Q5593,Pablo Picasso,Spanish artist (1881-1973),Male,Spain,Artist,1881,1973.0,natural causes,92.0
433081,Q5077824,Charles Frederic Chapman,American boater,Male,United States of America,Artist,1881,1976.0,natural causes,95.0
38060,Q207515,P. G. Wodehouse,English author,Male,United States of America; United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1881,1975.0,natural causes,94.0
404867,Q4725769,Alice Catherine Evans,American microbiologist,Female,United States of America,Microbiologist; bacteriologist,1881,1975.0,natural causes,94.0
47361,Q297562,Leopold Stokowski,British conductor,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Artist,1882,1977.0,natural causes,95.0
59291,Q367073,Donald Crisp,English film actor (1882-1974),Male,United Kingdom,Artist,1882,1974.0,natural causes,92.0
500154,Q5729687,Henry W. Lever,American sports coach (1883-1980),Male,United States of America,Athlete,1883,1980.0,accident,97.0
918649,Q19878210,George Frederick Clarke,"New Brunswick author, historian and archaeologist",Male,Canada,Researcher,1883,1974.0,natural causes,91.0
173299,Q1471657,Jakob Sildnik,Estonian film director and photographer,Male,Estonia,Artist,1883,1973.0,homicide,90.0
194299,Q1631803,Howard Estabrook,"actor, director, producer, screenwriter (1884-1978)",Male,United States of America,Artist,1884,1978.0,natural causes,94.0
7641,Q67762,Daniel-Henry Kahnweiler,German art dealer and historian (1884-1979),Male,France; Germany,Researcher,1884,1979.0,natural causes,95.0
1181785,Q61989793,Inés María Calderón Barragán,victim of Don Benito's crime,,Spain,Dressmaker,1884,1902.0,homicide,18.0
228265,Q1995274,Shinji Sogō,Japanese businessman,Male,Japan,Manager,1884,1981.0,natural causes,97.0
339442,Q3532221,Torben Meyer,actor,Male,Denmark,Artist,1884,1975.0,natural causes,91.0
571773,Q6688354,Louis W. Sauer,American pediatrician,Male,United States of America,Researcher,1885,1980.0,natural causes,95.0
499267,Q5726119,Benjamín Menéndez,Argentine general,Male,Argentina,Military personnel,1885,1975.0,suicide,90.0
639558,Q8005796,William Boyd,British pathologist,Male,Canada,Military personnel,1885,1979.0,natural causes,94.0
118896,Q959677,Allan Dwan,"film director, film producer, screenwriter",Male,Canada; United States of America,Artist,1885,1981.0,natural causes,96.0
43587,Q263454,"Clementine Churchill, Baroness Spencer-Churchill",wife of Sir Winston Churchill and life peeress in her own right (1885-1977),Female,United Kingdom; United Kingdom of Great Britain and Ireland,Politician,1885,1977.0,natural causes,92.0
318674,Q3270698,Zou Rong,Chinese writer,Male,Qing dynasty,Artist,1885,1905.0,natural causes,20.0
44262,Q269505,Henry King,American film director,Male,United States of America,Artist,1886,1982.0,natural causes,96.0
173406,Q1473223,Misao Fujimura,Japanese writer,Male,Japan,Artist,1886,1903.0,suicide,17.0
21224,Q98952,Maximilian Kronberger,German poet,Male,German Empire,Artist,1886,1904.0,natural causes,18.0
290448,Q3047834,Edmond Garrigues,French politician,Male,France,Politician,1886,1979.0,suicide,93.0
845202,Q17047457,Կոնստանտին Կոզլովսկի,Llabrador polacu (1886–1981),,Poland; Soviet Union; Russian Empire,Peasant,1886,1981.0,capital punishment,95.0
33468,Q154260,Oskar Kokoschka,"Austrian dramatic, painter and writer (1886-1980)",Male,Austria; Austria; United Kingdom; Austria-Hungary; Czechoslovakia; United Kingdom of Great Britain and Ireland,Artist,1886,1980.0,natural causes,94.0
298891,Q3109758,Grace Brown,American skirt factory worker whose murder caused a nationwide sensation,Female,United States of America,Manual worker,1886,1906.0,homicide,20.0
280695,Q2886797,Basil Dean,British actor and filmmaker,Male,United Kingdom,Artist,1887,1978.0,natural causes,91.0
60124,Q372740,"Luís Filipe, Prince Royal of Portugal",Portuguese crown prince (1887-1908),Male,Portugal,Politician,1887,1908.0,homicide,21.0
271451,Q2745500,Jack Mulhall,actor (1887-1979),Male,United States of America,Artist,1887,1979.0,natural causes,92.0
748488,Q12880056,Lina Tsaldari,Greek diplomat,Female,Greece,Politician,1887,1981.0,natural causes,94.0
228743,Q2004176,Gertrude Astor,American actress (1887-1977),Female,United States of America,Artist,1887,1977.0,natural causes,90.0
41777,Q242484,Lynn Fontanne,actress (1887-1983),Female,United Kingdom,Artist,1887,1983.0,natural causes,96.0
461979,Q5394125,Ernesto Balmaceda Bello,Chilean diplomat,Male,Chile,Politician,1887,1906.0,homicide,19.0
19397,Q96058,Karl Borwin zu Mecklenburg,(1888-1908),Male,German Empire,Military personnel,1888,1908.0,homicide,20.0
157020,Q1367973,Roy Webb,American-born composer,Male,United States of America,Artist,1888,1982.0,natural causes,94.0
453039,Q5338605,Edith Luckett Davis,American actress and socialite (1888-1987),Female,United States of America,Artist,1888,1987.0,natural causes,99.0
270604,Q2723923,Prafulla Chaki,Indian revolutionary,Male,British Raj,Revolutionary,1888,1908.0,suicide,20.0
72448,Q491027,Anders Olsen Haugen,ski jumper,Male,Norway; United States of America,Athlete,1888,1984.0,natural causes,96.0
82145,Q561479,Marcel Jouhandeau,French writer,Male,France,Artist,1888,1979.0,natural causes,91.0
70077,Q466440,Beulah Bondi,American actress,Female,United States of America,Artist,1888,1981.0,accident,93.0
49622,Q317462,Wellington Koo,Republic of China diplomat (1888-1985),Male,Taiwan; Qing dynasty; Republic of China (1912–1949),Politician,1888,1985.0,natural causes,97.0
388349,Q4385843,Gheorghe Manoliu,Romanian general,Male,Romania,Military personnel,1888,1980.0,natural causes,92.0
44630,Q272088,Anita Loos,"American screenwriter, playwright, author, actress and television producer",Female,United States of America,Artist,1889,1981.0,natural causes,92.0
233243,Q2062257,George Walsh,actor (1889-1981),Male,United States of America,Artist,1889,1981.0,natural causes,92.0
229036,Q2012872,Dorothy Phillips,American actress,Female,United States of America,Artist,1889,1980.0,natural causes,91.0
571,Q7336,Otto Frank,German-born businessman and father of Anne Frank,Male,Switzerland; Kingdom of the Netherlands; Alemania,Artist,1889,1980.0,natural causes,91.0
48821,Q313572,Abel Gance,"French film director and producer, writer and actor",Male,France,Artist,1889,1981.0,natural causes,92.0
168606,Q1452244,Fred Church,actor (1889-1983),Male,United States of America,Artist,1889,1983.0,natural causes,94.0
246274,Q2311487,Mikhail Naimy,Lebanese writer,Male,Lebanon,Artist,1889,1988.0,natural causes,99.0
318972,Q3272443,Leonard Mociulschi,Romanian general,Male,Kingdom of Romania; Socialist Republic of Romania; Romanian People's Republic,Military personnel,1889,1979.0,natural causes,90.0
200585,Q1685853,Jean Théodore Delacour,French-American ornithologist,Male,United States of America; France,Researcher,1890,1985.0,natural causes,95.0
